isc,Voc,iMPP,VMPP,iMPPx,iOCx,FF,PCE,iaug_MPP,irad_MPP,isrh_MPP,isII_MPP,isIII_MPP,iaug_OC,irad_OC,isrh_OC,isII_OC,isIII_OC
188.1412,0.762166102210383,180.7881,0.675,-0.282182000000006,-6.5578152,0.851020602875389,12.20319675,0.01802661,0.2934344,1.504735,4.928138,0.6188199,2.30817441599999,7.74676719999997,39.6094395999999,123.4598432,20.4955151999999
223.4009,1.00200383028621,149.515484,0.314,-0.47739399999999,-0.148487076000016,0.209730464661251,4.6947861976,2.4424555e-07,0.034531113,0.000159883562,2.06050484e-07,74.571745,0.00040903174,1.72012384,0.0079780536,5.25519168,217.286152
120.6723,0.990622967460345,116.0805,0.9,-0.16536399999999,-3.6592152,0.873948409435973,10.447245,0.947935599999999,0.007884285,0.1740226,3.45391599999999,0.008257564,2.96940004,0.0145036764,0.246014856,118.8069844,0.015052544
157.193,1.31170075127608,150.7835,0.95,-0.253131999999979,-0.000316586679999998,0.69471944611121,14.3244325,0.009646323,0.001736594,0.0007579778,6.305161,0.09224338,0.8219481,0.0401886056,0.01703836,154.183572,2.13036136
196.0489,0.964003699755804,188.1345,0.85,-0.309405999999967,-1.99937520000001,0.846143959988143,15.9914325,7.10927699999997,0.212846599999999,0.0291614399999999,0.232222699999999,0.326949799999998,188.6128,1.9229818,0.25560108,1.8093522,5.4403724
128.0217,1.02013678448035,120.9284,0.75,-0.172941999999992,-0.101478763999989,0.694460538042956,9.06963,0.00428246199999999,0.955735099999999,0.00740028799999999,4.87521599999999,1.251789,0.0444767408,3.72279212,0.028624304,119.814984,4.49952052
355.6434,0.777180143677648,321.3284,0.525,-0.688627999999994,-0.241675448,0.610340185350657,16.869741,2.888498e-05,0.001039781,0.02092665,28.35594,5.954229,5.71472924e-05,0.00135879744,0.0247062444,218.556512,137.276116
144.9945,0.936752503868143,79.6816701,0.353,-0.225218299999995,-0.0771222719999996,0.207088862335787,2.81276295453,0.00272430666,43.3281006,41.4252957,3.7668402e-07,3.76657839,0.00795719576,82.5711452,77.3695404,0.255721652,8.01909724
241.008,0.762873711504571,224.7604,0.475,-0.549392000000012,-0.00655442760000001,0.580669877975129,10.676119,2.592594e-05,0.08688945,0.009984886,16.1515,0.00161149,9.81115384e-05,0.217717316,0.0221582548,240.767316,0.00397569524
191.6961,1.13487932027554,172.5817,0.625,-0.298892000000009,-2.88064960000001e-05,0.495806025286971,10.78635625,11.87694,0.1404818,0.0006844838,7.06076,0.03561449,145.92096,0.61960386,0.0029738324,29.098184,16.05453
144.26,0.797315287226461,115.0407,0.4,-0.492407800000002,-0.00012331524,0.400069541096971,4.601628,0.6364473,0.004219569,0.0009940686,28.46954,0.1100154,5.76891436,0.0164790704,0.00256758012,138.09036,0.383634072
341.5437,1.18910388032795,246.0715,0.525,-0.459341999999992,-0.000800034439999996,0.318093316966046,12.91875375,40.42981,30.01873,0.1938329,9.419938e-07,25.08179,192.44192,100.96514,0.69756686,0.29667542,47.395046
196.6825,0.966269391674696,180.5371,0.6,-0.274737999999999,-0.0251796200000001,0.569972326042606,10.832226,0.03753561,1.011716,0.2381681,2.596719,12.26151,1.3199546,12.3857252,1.59080332,33.2431956,148.161404
142.5145,0.83974212984778,84.7813596,0.479,-0.176657599999992,-0.275379679999999,0.33933674880816,4.06102712484,66.2032368,0.0644666168,0.0249292388,1.3336294,0.0764384392000001,106.01766,0.092649312,0.026991008,16.097224,30.32053
148.0445,0.841047210062987,131.309804,0.524,-0.250804000000002,-0.950763399999996,0.552606244283514,6.8806337296,0.000167849308,6.4056252,0.000301006204,0.0001144943148,10.33751892,0.0272871475999999,52.3253708,0.00220519112,23.7287955999999,72.875732
130.5341,0.664396629130565,124.3167,0.575,-0.231902000000005,-3.8538188,0.824225256559456,7.14821025,1.40729600000001e-05,2.76672000000001,0.0394100600000002,2.01851000000001,1.39279100000001,0.00085530748,43.79039,0.611163,68.823068,19.634182
350.306,0.938127176082569,310.4994,0.625,-0.483214000000004,-2.23130319999999,0.590515755848327,19.4062125,0.001048564,0.001214595,0.02879224,0.002261469,39.8449,0.0107576068,0.0029663628,0.0426836088,61.5858139999999,290.682928
211.3235,0.785658838703601,204.3851,0.7,-0.309875999999946,-8.0185696,0.861718617832764,14.306957,0.2036844,0.0001044504,0.0001591389,0.0006305941,6.733854,23.0233675999999,0.00285085539999999,0.00432821007999998,0.0175633915999999,191.011043999999
338.0645,1.02682653859812,304.2793,0.55,-0.602790000000027,-0.961851560000111,0.482101458422504,16.7353615,1.980578,1.432654,0.06663444,30.31319,1.527031e-07,69.5580244,22.0425524,1.4997964,237.536204,7.60255608
240.595,1.10460460183676,225.9039,0.9,-0.220803999999987,-3.55866599999998,0.765020005479509,20.331351,0.003232541,1.624453e-05,0.1024409,0.0815541299999998,14.50385,0.026238896,3.5226786e-05,0.1477373,29.3653780000001,212.46274
159.9853,0.598854570439598,82.05194,0.425,-0.197935600000001,-1.16485644,0.363979006629134,3.48720745,7.769051e-05,1.957064,0.002136143,93.36593,0.1157976,0.000521995096,7.13674444,0.00580039132,123.105756,47.4135404
312.0565,0.845181049502066,266.6484,0.45,-0.604977999999988,-0.474423839999998,0.454955072842025,11.999178,11.69522,0.0006695039,0.001496269,34.05745,6.68195e-06,116.129796,0.00492098052,0.011274,194.870136,1.77564197599999
126.4255,0.758482077766455,115.7371,0.475,-0.261744000000007,-0.15061404,0.573305624624422,5.49751225,6.69993700000002e-05,0.001200314,0.0172299,10.63736,0.0328430300000001,0.00215088672,0.0125944272,0.249158484,98.5892788,27.650668
248.6423,0.795806509321391,180.2481,0.4,-0.458559999999991,-0.73472728,0.364374675402956,7.209924,0.1152814,0.0006006661,0.1543388,0.001308855,68.25676,1.67281504,0.00360374092,0.9234346,42.8336655999999,203.484968
287.7838,0.79263212737363,188.24024,0.484,-0.388740000000013,-1.4652452,0.399410810399077,9.110827616,58.5848956,0.00286458108,9.48957136,31.5512112,0.000456015408,163.182332,0.0119725912,36.7806908,49.4459696,38.9872703999999
332.8257,0.695838821613503,210.56376,0.395,-0.533091999999996,-0.841793760000003,0.359132917646655,8.31726852,0.350994995,135.858475,2.345717e-05,0.0097518977,0.0206223294,1.55060912,319.518552,5.50906972e-05,25.5918732000001,0.278196848
262.649,0.714189111777964,207.3211,0.525,-0.388878000000005,-4.64350559999998,0.580248239399827,10.88435775,54.60226,0.6263916,0.01698566,0.08028939,0.00551311,137.99234,1.2038886,0.03254967,127.180699999999,0.008376666
133.3246,0.950126054118223,121.8219,0.65,-0.187412000000002,-1.004934244,0.625096703462897,7.9184235,0.0009307464,0.3665633,0.1815828,0.001962142,10.95983,0.0854733092,3.99502352,0.594132212,37.8082883999999,91.7280388
343.2539,1.09475075668957,319.4698,0.625,-0.58017000000001,-1.47550600000001e-05,0.531348052134933,19.9668625,9.059011,0.0008982733,0.6007492,13.59157,0.5338974,54.508392,0.0030601312,1.071612,285.94876,1.723994
330.4569,0.607394640426408,286.7235,0.475,-0.627322000000021,-5.211534,0.678533226546333,13.61936625,28.09272,9.292001,2.168965e-06,0.00730756800000001,6.80889200000001,107.376476,23.2710916,5.43179752e-06,0.0290807332,203.402604
296.3741,0.834156616727657,247.9467,0.4,-0.859619499999994,-0.000348691999999999,0.401171873438384,9.917868,1.03804,0.05481277,0.0002429376,0.4306746,46.94665,2.2562846,0.092011256,0.00040687708,0.66738512,293.40168
160.931,0.757009826610339,138.1946,0.525,-0.276240000000001,-1.21827564,0.595537549546143,7.2552165,2.279176,0.003147612,0.0004391368,0.0006999839,20.58455,36.4763971999999,0.0108220292,0.00150944468,0.232836603999999,125.547348
276.6447,1.09228407669513,253.8008,0.625,-0.350431999999998,-0.000293469480000001,0.52494650320108,15.86255,1.067543,0.002427286,15.3708,0.0003448607,6.638602,45.8872932,0.0252767144,41.0683872,0.0039029148,189.895856
125.0685,0.925357631005025,108.687,0.625,-0.180636,-0.910218899999996,0.586948594281785,6.7929375,6.805709,6.079854,5.690377e-05,3.535255,0.003809492,23.612724,18.2425444,0.000170811048,60.1118776,23.7290792000001
194.7966,0.711618724487559,99.7695532,0.268,-0.372730099999998,-0.557443719999998,0.192887498994639,2.67382402576,1.033615064e-06,0.0655327032,0.0423102464,4.810348656e-06,-0.000645210316,0.001365672,2.1381474,0.0445895188,14.4893970799999,-0.00226200296
309.2933,1.03994731967695,240.7496,0.4,-0.81266699999999,-4.21405920000002e-06,0.299394427910012,9.629984,10.68334,0.6425443,0.8456849,58.47596,0.2602324,16.63281,0.87668064,1.1061406,292.70234,0.33934928
140.848,0.617934315843392,91.5576309,0.397,-0.230520299999995,-0.0993935879999999,0.41763035290988,3.63483794673,6.69766606,42.9519773,4.22223859e-06,3.3205015e-05,1.1357442297,13.141306,68.7551084,6.75860976e-06,4.28031636e-05,60.4531204
287.7602,1.12854872711917,210.984,0.5,-0.431451999999993,-0.0336353560000002,0.324839238838964,10.5492,1.945371,43.57751,32.02082,3.590255e-06,0.02430615,14.911514,169.652792,56.2850832,47.6536964,0.0641840196
313.7687,0.866923556390826,283.7464,0.5,-0.519664000000006,-1.58990400000001,0.52156680402171,14.18732,0.3518793,2.011651,0.0002830031,27.66207,0.0001241379,8.08317163999999,56.1865484,0.0219847636,199.949768,49.6524991999998
335.6477,0.685299333271305,323.8081,0.575,-0.427356000000032,-8.49934920000004,0.809452871762196,18.61896575,2.31277400000002e-05,11.2525600000001,4.51493800000002e-05,0.483139600000003,0.104361400000001,0.00301725324000001,324.536936,0.001301616744,12.59204824,4.47008564000001
216.055,1.00629505896676,206.0021,0.85,-0.294931999999974,-1.29368812000014,0.8053801320199,17.5101785,0.00263571699999999,2.60131599999999,0.2530733,6.50691999999997,0.692258599999999,0.0144573984,6.90092384,0.935863408,207.076388,2.04269048
322.1943,1.0135635885013,275.960756,0.426,-0.647443999999979,-0.0967775599999999,0.359988039514323,11.7559282056,0.0121363572,0.0089150472,0.00251561656,46.2227312,1.55533768e-06,1.11063728,0.466834308,0.4441958,318.575232,1.65240424
297.2974,0.828774375589907,217.1776,0.45,-0.478381999999996,-0.593228719999997,0.396643295025594,9.772992,5.450114e-05,89.39535,0.004383751,4.654988,0.0006588744,0.000515216227999999,189.431284,0.0039299454,116.179528,5.75157403999997
334.6695,0.896503820302667,251.142108,0.216,-1.16453700000001,-0.00797999600000001,0.180802739662631,5.4246695328,0.00062523898,0.000348977416,1.45555532e-09,4.07984236e-08,84.8708336,7.57531672,0.0323489808,1.34095448e-07,0.075241812,328.334948
224.8979,1.13572156303826,213.2096,0.925,-0.311018000000004,-0.305940560000035,0.77213140417146,19.721888,0.1308226,0.05516523,0.4353997,10.99657,0.07061728,0.591534168,0.132582112,0.965787656,222.821384,0.471952112
246.4532,1.12048524979555,233.6663,0.85,-0.355719999999977,-0.807179319999996,0.719240943665422,19.8616355,2.57026799999999e-05,0.001118775,0.01280776,12.6126199999999,0.1602953,0.000264986952,0.00307416012,0.0534278328,215.036868,31.7750516
172.4308,0.680648201903527,160.7334,0.4,-0.270066999999997,-0.795786000000003,0.547808262157122,6.429336,0.02779088,0.004984736,5.326705e-05,11.65922,0.006180866,0.1147569448,0.0574776048,0.0003019198,156.014416,16.524564
254.3837,0.999064367302322,205.626184,0.469,-0.439064000000002,-0.0007493432,0.379462190309024,9.6438680296,0.407888416,0.0560596936,1.67205296,46.7634696,3.89874596e-06,16.84103,0.9481587,14.56735,222.1666,0.003529216
291.5057,0.881850213213553,247.1006,0.4,-0.509659000000013,-0.029540336,0.384496079418191,9.884024,0.01107328,0.01562183,1.737265e-06,0.001921692,44.41314,0.229840204,0.117300672,1.30446036e-05,59.975296,231.22382
194.5949,0.937612030174423,189.2173,0.8,-0.185663999999989,-3.00646679999999,0.829652455975061,15.137384,0.731986999999999,0.02955171,0.002868252,0.001040934,4.61234399999999,3.90909692,0.0869714704,0.00782848336,0.0041773,191.753372
